JOBSHIPMENTNO,JOBTYPE,JOBTYPENAME,SERVICETYPECODE,TMODE,SHPTORIGINCTRY,SHPTDESTCTRY,SERVICE_REMARK,TOTAL_RATING,TOTAL_SCORE
J20010001-1-A1,I,Inbound Job,PTD,Air,Japan,Singapore,,40,10
J20010003-1-S1,O,Outbound Job,DTD,Sea,Singapore,South Africa,The quote came in slightly cheaper than other moving companies. I cannot praise the team that came to help pack and move us. Khai and his 2 colleagues were punctual and so friendly. Really made moving easy for me. Thank you!,40,10
J20010004-1-S1,O,Outbound Job,DTP,Sea,Singapore,United States,"Very professional people.  Highly recommended for anyone to move.  Warm, courteous and did their job well.",40,10
J20010007-1-S1,I,Inbound Job,PTD,Sea,United States,Singapore,,40,10
J20010008-1-S1,I,Inbound Job,PTD,Sea,China,Singapore,"With regards to the dissembled furniture, the experience dealing is very unpleasant. I sincerely wish this would be solved ASAP> Awaiting for a satisfactory end. Thanks.",40,10
J20010009-1-R1,L,Local Move Job,DTD,Road,Singapore,Singapore,,40,10
J20010013-1-S1,O,Outbound Job,DTD,Sea,Singapore,Taiwan,,40,10
J20010015-1-R1,L,Local Move Job,DTD,Road,Singapore,Singapore,,40,10
J20010016-1-S1,I,Inbound Job,PTD,Sea,Vietnam,Singapore,"Great jobs by the team. Quick, tidy and well-organised.",40,10
J20010019-1-S2,O,Outbound Job,DTD,Sea,Singapore,Australia,,40,10
J20010021-1-A1,I,Inbound Job,PTD,Air,Hong Kong ,Singapore,"Ms Nurfifi provided excellent customer service. I was given a delivery slot of between 9am to 9.30am. As I had to leave the house at about 9.15 am for a prior appointment, I requested Ms Nurfifi to arrange for the delivery crew to arrive at 9am if possible. Ms Nurfifi kindly acceded to my request and the delivery crew exceeded my expectations by arriving at 8.30 am so delivery commenced at 8.50 am and was completed amply before 9.15am. Thank you Asian Tigers!",40,10
J20010021-1-S1,I,Inbound Job,PTD,Sea,Hong Kong ,Singapore,"Very efficient, excellent movers!",40,10
J20010026-1-R1,L,Local Move Job,DTD,Road,Singapore,Singapore,,31,7.75
J20010027-1-S1,O,Outbound Job,DTD,Sea,Singapore,Australia,"JJ and his team were well-organised, efficient and always helpful making our move all the more stress free. This is the 3rd time we have used Asian Tigers and the experience has always been excellent.",40,10
J20010028-1-S1,I,Inbound Job,PTD,Sea,Hong Kong ,Singapore,,40,10
J20010031-1-S1,O,Outbound Job,DTD,Sea,Singapore,Australia,,40,10
J20010033-1-S1,I,Inbound Job,PTD,Sea,Hong Kong ,Singapore,"Very effective, friendly and careful crew. Thank you very much!",40,10
J20010034-1-R1,I,Inbound Job,PTD,Road,Malaysia,Singapore,"Excellent staff and service, Very thankful to them. Great people and professional 
Hard Working, Polite",40,10
J20010042-1-S1,I,Inbound Job,PTD,Sea,Hong Kong ,Singapore,Fair quick shipment from HK to SG. Only 12 Days.,36,9
J20010043-1-S3,O,Outbound Job,DTD,Sea,Singapore,United Kingdom,"Karim and his team were amazing - helpful, thoughtful and careful. Thank you!",40,10
J20010044-1-S1,I,Inbound Job,DTD,Sea,United Kingdom,Singapore,Great service from entire team.,40,10
J20010045-1-R1,L,Local Move Job,DTD,Road,Singapore,Singapore,,40,10
J20010047-1-A1,I,Inbound Job,PTD,Air,United States,Singapore,,40,10
J20010048-1-A1,I,Inbound Job,DTD,Air,Thailand,Singapore,Very good service.,40,10
J20010049-1-S1,I,Inbound Job,PTD,Sea,United States,Singapore,"Great job, Highly efficient, only one minor problems, most likely with packing on state side.Thank you.",40,10
J20010051-1-S1,O,Outbound Job,DTP,Sea,Singapore,"Korea, Republic of",Good.,40,10
J20010052-1-A1,I,Inbound Job,PTD,Air,United States,Singapore,,40,10
J20010052-1-S1,I,Inbound Job,PTD,Sea,United States,Singapore,Wonderful crew - delight to move in with.,40,10
J20010057-1-A1,O,Outbound Job,O,Air,Singapore,China,Delicate/enhanced excellent service. Fast also. Definitely would  recommend the service to my friends.,40,10
J20010058-1-S1,O,Outbound Job,DTD,Sea,Singapore,Australia,"Packing crew did a very excellent job. Thorough and precise, thank you!",35,8.75
J20010059-1-A1,I,Inbound Job,PTD,Air,Taiwan,Singapore,,40,10
J20010060-1-A1,I,Inbound Job,PTD,Air,United States,Singapore,,40,10
J20010068-1-S1,I,Inbound Job,PTD,Sea,Taiwan,Singapore,"I am happy with the crew in general, just that the internal communications between Taiwan and Singapore, my piano can't be in today which make me hesitate to answer the No. 4 questions above as ""Yes"".",26,6.5
J20010072-1-S1,I,Inbound Job,DTD,Sea,United States,Singapore,"Done a really good job in organizing the move in time of such confusion + chaos due to the viral situation.
Good job.",40,10
J20010075-1-S1,I,Inbound Job,PTD,Sea,New Zealand,Singapore,"Delivery was excellent. Personnel were very helpful and courteous. Correspondence prior to importation generally good. Perhaps more explanation about the process from ship to customer to delivery would help reduce concerns about delivery times/dates. Other wise, very good service.",36,9
J20010076-1-A1,I,Inbound Job,PTD,Air,United States,Singapore,,40,10
J20010077-1-S1,I,Inbound Job,PTD,Sea,"Korea, Democratic People's Republic of",Singapore,,40,10
J20010079-1-S1,I,Inbound Job,PTD,Sea,Australia,Singapore,,40,10
J20010087-1-S1,I,Inbound Job,PTD,Sea,Hong Kong ,Singapore,Very pleased. Great crew.,40,10
J20010091-1-S1,O,Outbound Job,DTD,Sea,Singapore,Turkey,Perfect packing from estimate to full container.,40,10
J20010092-1-A1,I,Inbound Job,PTD,Air,Switzerland,Singapore,,40,10
J20010093-1-S1,O,Outbound Job,DTP,Sea,Singapore,Indonesia,"Hisham and team were careful in packing our belongings – especially those of sentimental value.  They were efficient and did not waste any time.  Great service.
",38,9.5
J20010100-1-S1,O,Outbound Job,DTP,Sea,Singapore,Indonesia,,40,10
J20010101-1-S1,O,Outbound Job,DTP,Sea,Singapore,United States,"Arrived on time/early and was very efficient, organised and professional.",40,10
J20010102-1-S1,O,Outbound Job,DTP,Sea,Singapore,"Korea, Republic of",,40,10
J20010104-1-A1,O,Outbound Job,DTP,Air,Singapore,United States,,40,10
J20010110-1-S1,I,Inbound Job,PTD,Sea,Hong Kong ,Singapore,,40,10
J20010112-1-S1,I,Inbound Job,PTD,Sea,"Korea, Republic of",Singapore,Awesome!,40,10
J20010113-1-S1,I,Inbound Job,PTD,Sea,Hong Kong ,Singapore,,40,10
J20010115-1-S1,I,Inbound Job,PTD,Sea,Hong Kong ,Singapore,"Mike and team were professional, courteous and efficient.  Great Job!",40,10
J20010116-1-S1,I,Inbound Job,PTD,Sea,Hong Kong ,Singapore,,40,10
J20010118-1-R1,L,Local Move Job,DTD,Road,Singapore,Singapore,Great experience.,40,10
J20010123-1-S1,I,Inbound Job,PTD,Sea,China,Singapore,,40,10
J20010128-1-A1,I,Inbound Job,DTD,Air,Brazil,Singapore,,40,10
J20010132-1-S1,O,Outbound Job,DTD,Sea,Singapore,Hong Kong ,,40,10
J20010133-1-S1,I,Inbound Job,PTD,Sea,Australia,Singapore,,40,10
J20010140-1-A1,I,Inbound Job,PTD,Air,Switzerland,Singapore,Amazing!,40,10
J20010141-1-R1,L,Local Move Job,DTD,Road,Singapore,Singapore,Excellent Crew!,40,10
J20010153-1-S1,I,Inbound Job,PTD,Sea,Hong Kong ,Singapore,,40,10
J20010158-1-S1,O,Outbound Job,DTP,Sea,Singapore,Thailand,,40,10
